epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2085.98,1.1776,0.55039,0.00633,0.97808,0.96405,0.98569,0.70462,1.04871,0.38225,0.0078,0.00108128,0.00108128,0.00108128
60,2114.97,1.1946,0.52299,0.00667,0.9795,0.95877,0.98752,0.69473,1.12035,0.38145,0.00943,0.00106544,0.00106544,0.00106544
61,2144.05,1.20248,0.54221,0.00659,0.98491,0.9537,0.98315,0.70745,1.06321,0.40063,0.00835,0.0010496,0.0010496,0.0010496
62,2174.17,1.16838,0.54799,0.00668,0.98095,0.95354,0.98565,0.68852,1.12313,0.43507,0.00869,0.00103376,0.00103376,0.00103376
63,2202.86,1.17335,0.51808,0.00662,0.99193,0.94849,0.98622,0.72073,1.04563,0.34981,0.00857,0.00101792,0.00101792,0.00101792
64,2232.51,1.17895,0.52204,0.00658,0.97472,0.95221,0.98499,0.73723,0.97899,0.38998,0.00763,0.00100208,0.00100208,0.00100208
65,2262,1.15478,0.50401,0.00615,0.97046,0.95216,0.98548,0.71568,1.01761,0.40752,0.00773,0.00098624,0.00098624,0.00098624
66,2291.71,1.17196,0.56361,0.00651,0.96904,0.96599,0.98962,0.7131,1.03988,0.381,0.00801,0.0009704,0.0009704,0.0009704
67,2321.4,1.11153,0.49956,0.00636,0.98081,0.95679,0.98513,0.75422,0.9766,0.35474,0.0079,0.00095456,0.00095456,0.00095456
68,2351.58,1.13579,0.50884,0.00617,0.98568,0.95525,0.98834,0.71701,1.0554,0.37085,0.00842,0.00093872,0.00093872,0.00093872
69,2381.52,1.14339,0.52224,0.0066,0.99192,0.94752,0.98605,0.75376,0.96151,0.3553,0.008,0.00092288,0.00092288,0.00092288
70,2411.67,1.08589,0.49245,0.00617,0.98106,0.95948,0.98576,0.70745,1.05903,0.36409,0.00869,0.00090704,0.00090704,0.00090704
71,2441.14,1.12518,0.51492,0.00668,0.98141,0.95988,0.98631,0.7456,0.93815,0.33541,0.00752,0.0008912,0.0008912,0.0008912
72,2470.83,1.09466,0.50561,0.00625,0.97326,0.95216,0.98797,0.75412,0.96291,0.35516,0.00797,0.00087536,0.00087536,0.00087536
73,2500.54,1.10567,0.51081,0.00617,0.98583,0.95833,0.98952,0.76051,0.92699,0.33674,0.0076,0.00085952,0.00085952,0.00085952
74,2530.72,1.09106,0.48999,0.00617,0.97244,0.96605,0.98887,0.71548,1.05275,0.36853,0.00815,0.00084368,0.00084368,0.00084368
75,2559.67,1.11312,0.4728,0.00657,0.98085,0.97994,0.99033,0.75898,0.9588,0.30827,0.00775,0.00082784,0.00082784,0.00082784
76,2588.76,1.06531,0.48188,0.00591,0.98278,0.969,0.98984,0.74238,0.96139,0.31572,0.00738,0.000812,0.000812,0.000812
77,2618.2,1.10083,0.50157,0.00639,0.96574,0.95708,0.9841,0.76557,0.88956,0.32797,0.00713,0.00079616,0.00079616,0.00079616
78,2647.28,1.10626,0.48914,0.00619,0.97214,0.96938,0.98598,0.76137,0.92465,0.32174,0.00712,0.00078032,0.00078032,0.00078032
79,2676.22,1.10501,0.49045,0.00585,0.97675,0.9724,0.98752,0.76438,0.92134,0.32622,0.00731,0.00076448,0.00076448,0.00076448
