epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,330.467,0.7133,0.25383,0.00575,0.98334,0.97566,0.9937,0.72273,1.04052,0.34721,0.01119,0.0002345,0.0002345,0.0002345
109,333.457,0.70618,0.25476,0.00566,0.98466,0.97245,0.99364,0.72034,1.0495,0.34321,0.01121,0.000218,0.000218,0.000218
110,336.45,0.6944,0.24846,0.00539,0.99713,0.9582,0.9925,0.72128,1.05822,0.35196,0.01123,0.0002015,0.0002015,0.0002015
111,372.792,0.66732,0.21897,0.00722,0.98013,0.98072,0.99115,0.71632,1.07976,0.35091,0.01183,0.000185,0.000185,0.000185
112,375.86,0.67602,0.2219,0.00724,0.98615,0.98098,0.99358,0.71881,1.07315,0.33467,0.01215,0.0001685,0.0001685,0.0001685
113,378.808,0.64907,0.20768,0.00704,0.99164,0.98347,0.99404,0.7252,1.04253,0.3222,0.01154,0.000152,0.000152,0.000152
114,381.767,0.61665,0.1977,0.00659,0.98942,0.98347,0.99378,0.7268,1.02754,0.3264,0.01105,0.0001355,0.0001355,0.0001355
115,384.721,0.64025,0.19133,0.00666,0.98989,0.9697,0.9935,0.71905,1.0339,0.34324,0.01099,0.000119,0.000119,0.000119
116,387.676,0.63266,0.19527,0.00692,0.99161,0.97735,0.99348,0.71859,1.03431,0.34613,0.01098,0.0001025,0.0001025,0.0001025
117,390.585,0.613,0.1924,0.00648,0.99166,0.9825,0.99364,0.7184,1.04313,0.33377,0.01137,8.6e-05,8.6e-05,8.6e-05
118,393.566,0.62182,0.19091,0.00694,0.98338,0.97826,0.99371,0.72274,1.04541,0.33419,0.01153,6.95e-05,6.95e-05,6.95e-05
119,396.547,0.6048,0.18617,0.00642,0.99039,0.97796,0.99367,0.72674,1.04078,0.33317,0.01143,5.3e-05,5.3e-05,5.3e-05
120,399.472,0.60546,0.18332,0.00644,0.98099,0.98623,0.99361,0.73089,1.0351,0.33972,0.01128,3.65e-05,3.65e-05,3.65e-05
